,score,city,comment
245,5.0,资阳,我觉得还OK！
246,5.0,深圳,不错不错不错
247,4.0,郑州,现在才评。水哥经验
248,4.5,天津,高中时期的过往 很开心
249,5.0,徐州,恨不错的电影
250,5.0,日照,给喜欢看评论的人看的
251,3.5,大同,搞笑不错！加油无鞋
252,4.5,桂林,挺搞笑的！！！
253,4.0,合肥,一般般吧！。
254,5.0,郑州,给满分吧，感觉挺有意义的，又是国产的
255,5.0,赣州,陪别人的老婆去看的，老抓我的手，什么鬼，一手水
256,5.0,苏州,大春，夏洛，秋雅，冬梅，一年四季！大春一语知年少，夏洛一醒道青春，繁华只觉秋雅香，平淡才知冬梅好。
257,1.5,武汉,不好看！没感觉
258,3.0,天津,一般般，不喜欢
259,4.5,济宁,老婆，我再也不想初恋了☺
260,5.0,哈尔滨,很喜欢的影片，很有意义
261,5.0,郑州,迄今为止，最喜欢的一部国产喜剧电影！
262,4.5,东莞,很有意思的一部喜剧电影
263,5.0,秦皇岛,看几遍都觉得特别棒的电影，沈腾真的可以扛起中国未来喜剧届的大旗
264,5.0,北京,简直太搞笑了
265,4.5,金坛,"好久前看的，没给影评，
记得还不错哦"
266,3.5,成都,可以可以可以
267,4.5,齐齐哈尔,特别可乐的喜剧
268,5.0,盘锦,大爷，你好，什么冬梅？
269,4.5,北京,好看好看~看了好多遍
270,4.5,常德,棒棒棒哒！!
271,5.0,秦皇岛,喜欢开心麻花 千百遍不会烦
272,5.0,淮南,好看很好看非常
273,1.5,晋江,三观不正的电影！
274,5.0,乌鲁木齐,好看的不得了
275,4.5,梅州,很好，很有趣
276,5.0,盱眙,玛丽演的真好
277,5.0,西安,好极了。。。。
278,5.0,黄山,好看好看好看
279,5.0,石家庄,很好看 特别搞笑
280,4.0,南宁,很搞笑的片啊。。。
281,4.5,宜昌,好看！好看！好看！
282,4.0,沈阳,挺逗的，很有意思，挺喜欢的！
283,4.5,郑州,挺欢乐的，歌也很契合
284,5.0,沈阳,太逗了，很搞笑
285,5.0,北京,笑点十足，合格了！
286,5.0,双城,"好
特别逗，有意思"
287,4.0,上海,还有点意思吧
288,4.0,嘉善,好看  好看。。真心觉得好看
289,4.0,广州,满意满意满意满意满意
290,4.0,玉林,很多小惊喜的笑点，刷第二次的时候才知道这些笑点
291,4.5,北京,看了3遍！很棒很逗！！！
292,4.0,北京,开心麻花的开创之作，沈腾马丽成名之作，笑点十足，值得票价。
293,5.0,如东,非常好看，特搞笑
294,4.0,上海,挺好看的 好笑
295,4.0,莆田,笑点密集 而且对于90的年代的还原很有年代感 以及各种BGM真的是炉火纯青
296,5.0,胶州,好极了，很喜欢
297,5.0,安阳,印象挺深刻的。
298,5.0,哈尔滨,真的是完美的一部作品。记录第十刷
299,5.0,利津,开心麻花的笑点太密集了，电影院三刷
300,5.0,上海,特别搞笑，好看不错不错
301,4.5,仁寿,还不错哟。。
302,5.0,绍兴,又俗又耐看！
303,5.0,襄阳,好看好看好看
304,4.0,上海,"新一派的中國式喜劇, 輕輕鬆鬆笑一笑還是不錯的"
305,5.0,即墨,完美至极，完美至极
306,5.0,哈尔滨,喜欢看 喜欢
307,5.0,上海,非常不错的一部喜剧电影，很看好你们哦！
308,4.5,广州,s三年前看的电影，现在回味也很有意思
309,5.0,长春,这是开心麻花最完美的作品，整场都是笑点，让人捧腹
310,4.0,青岛,时间起来嗨就
311,5.0,重庆,最好看，没有之一
312,4.5,南宁,一fgdcvjiugddhj
313,5.0,昆山,很好看，剧情搞笑，值得一观
314,5.0,南京,完美，后来又看了几遍
315,5.0,合肥,剧情超级搞笑的，哈哈哈哈哈哈哈
316,5.0,敦煌,想回到从前追我们学校的校花！
317,5.0,贵阳,经典啊，很喜欢，很好看。
318,4.0,上海,笑料挺多的。
319,4.5,北京,当时跟她一起看的，她还问我为什么没有哭
320,5.0,南昌,值得我们去再看
321,5.0,璧山,和一个美女一起看的，如今她嫁人了。😃
322,4.5,潍坊,挺好。搞笑的很。值的再看一次
323,5.0,西宁,带着老妈一起看的，搞笑，也有一些生活意义。很好看。
324,4.0,萍乡,感觉还可以吧。
325,4.5,沈阳,很不错的一次体验，方便快捷，影片超赞，乐翻全场😊
326,3.5,宁波,算意外吧。。。
327,5.0,常州,很有意思的一部作品。
328,4.5,咸宁,反正很好笑，梗一个一个抛开
329,5.0,合肥,一部好电影，至今回味无穷，电影院看的好几遍，平常没事就看一遍回味，就像周星驰的经典喜剧电影一样，不可复制，每次看都会有不同的感受，良心之作。
330,5.0,大竹,可以可以可以
331,4.0,北京,搞笑，轻松，适合放松
332,4.5,项城,不错，很满意，环境喜欢，满分
333,5.0,武汉,夏洛特搞笑，挺搞笑的
334,5.0,北京, 快过年了 想看着高兴高兴
335,4.0,广州,还行吧，，，，，。
336,4.5,武汉,很好。很搞笑
337,4.0,北京,回忆这部电影，感觉主演都自带bgm，挺好的
338,4.5,阜宁,对现在、以后的人好点！
339,5.0,哈尔滨,特别喜欢，超级的逗
340,4.0,惠阳,一场宿醉后的美梦，让人从头笑到尾的超级大“小品”，好笑好看。
341,5.0,哈尔滨,笑到最后是淡淡的忧伤
342,5.0,临泉县,非常好看，没毛病
343,4.5,广州,好好好好好好
344,5.0,西安,已经过去很久，影片很满意。
345,4.0,杭州,笑点挺多的，还不错
346,4.5,西安,比较不错的喜剧片
347,4.5,重庆,电影很搞笑，只是搞笑而已，缺乏深度和意义
348,4.0,合肥,特别搞笑，好看！
349,5.0,江阴,虽然穿越是老梗了，但是开心麻花拍出了新意，笑点满满，看几遍都不会腻
350,5.0,宜昌,笑点很多，编剧也很好，好看的一部喜剧电影
351,2.0,重庆,zzzzxz
352,4.5,哈尔滨,很久没看到能让我发笑的国产喜剧了
353,4.0,上海,可以，想起当年的事情！搞笑，回不去了！
354,3.5,盐城,我不喜欢黏体娃娃。
355,4.0,广州,两年前红剧，拖到现在才看。但是梗都适用，果然搞笑果然厉害。开心麻花的戏路真的好。沈腾马丽黄金搭档。还以为尹正也是麻花的。
356,5.0,大连,很有意思，很搞笑，也很暖心
357,4.5,西安,蛮不错蛮不错
358,4.5,兰州,不错，还行，值得一看
359,4.5,北京,剧情非常简单，是最通俗易懂和老套的那种，不过表现的却很好，有很多好笑的情节，而且也很感人，夏洛这个人就是典型的*丝，沈腾完美的表现了这个角色，马丽艾伦都是实力派的演员，开心麻花出品，经过多年的话剧的沉淀，在剧本上确实优势很大，是部难得的好片，很赞，支持。
360,4.5,广州,穿越学生时代的梗虽然老套了，但是轻松一笑还是可以的
361,5.0,武汉,非常好笑！看了两次都有不同的感受！喜欢这个题材的电影！适合夫妻看！
362,4.5,天津,这是我们看的最后一场电影，印象中好像说了很多大道理，后来我又看了无数遍，可能觉得回到以前无忧无虑的学生时代还是挺好的吧
363,4.0,上海,没来的及看，也不能退！！
364,4.5,中牟,搞笑而重念回忆，珍惜
365,5.0,揭阳,刚失恋时看的 看完心情漂亮
366,5.0,济南,看过最好的电影 现在2018.1.5 至今怀念这场电影
367,4.0,洛阳,很不错奥，嗯嗯
368,5.0,黄石,特特特特好看
369,4.5,胶州,不错！不错！不错！
370,3.5,天津,电影票不便宜
371,4.0,天津,好。还可以吧。开心麻花的电影有点意思
372,5.0,沈阳,陌陌摸摸哦哦陌陌摸摸
373,4.5,上海,陪我一起看电影的那个人，已经离开了。
374,4.5,昌黎,非常喜欢这一帮喜剧演员，感谢他们的精彩作品！
375,4.5,台州,真的不错 武哥很喜欢
376,5.0,天津,那年我女友陪我看的
377,5.0,武汉,过了两年才来评论，现在已经看了羞羞的铁拳，还是好看。
378,2.5,上海,一般，也就那样吧
379,5.0,惠阳,好看啊！搞笑啊！
380,4.5,丰县,超级赞，开心麻花的演技就是可以
381,4.5,呼和浩特,挺好看的，不错。
382,5.0,苏州,有史以来笑点最密集的喜剧，开创了一个新的喜剧模式。
383,5.0,长春,很不出的片子，值得一看
384,5.0,北京,好好好好完美
